,HG_mostNum,HG_std,HG_val,HG_entropy,GLCM_asm,GLCM_contrast,GLCM_entropt,GLCM_idm,label
17984,131,9.973306655883789,0.07648791372776031,4.786823272705078,0.31084593572778824,0.18478260869565216,1.1358233947531162,0.8206521739130435,2
17985,120,8.879311561584473,0.07095368206501007,4.593051433563232,0.3082598193656795,0.15942028985507245,1.1233049369675747,0.8333333333333334,2
17986,119,8.658363342285156,0.07050465047359467,4.519893646240234,0.36122105387523623,0.20108695652173914,1.0660187027085415,0.8125,2
17987,133,8.784236907958984,0.06659892946481705,4.567068576812744,0.36829185045158574,0.16304347826086957,1.0411953268193697,0.8315217391304348,2
17988,142,9.76158618927002,0.07209203392267227,4.67021369934082,0.5210696282293636,0.15579710144927536,0.7796846599414583,0.8351449275362319,2
17989,135,9.098974227905273,0.07009601593017578,4.5647454261779785,0.3107589660785549,0.15760869565217392,1.118609382061941,0.8342391304347825,2
17990,118,8.573302268981934,0.06902549415826797,4.581625938415527,0.349537584015963,0.18297101449275363,1.0783202480272926,0.8215579710144927,2
17991,132,5.885037422180176,0.044228196144104004,4.133327960968018,0.5938402515227893,0.1358695652173913,0.6260670865649356,0.8451086956521738,2
17992,135,5.850839138031006,0.04299617558717728,4.012687683105469,0.8270518273471961,0.0036231884057971015,0.10922274499711586,0.9112318840579711,2
17993,135,9.467637062072754,0.07305824011564255,4.704690933227539,0.3196856621508086,0.13949275362318841,1.0922557628137939,0.8432971014492754,2
